iter	RMSE
0	12.46021208
1	12.05217039
2	11.67162051
3	11.34370045
4	11.00061628
5	10.68552584
6	10.39184475
7	10.12791089
8	9.870218278
9	9.637401555
10	9.421801488
11	9.220997077
12	9.035779606
13	8.859275201
14	8.720317236
15	8.589523503
16	8.447799114
17	8.32340672
18	8.21201365
19	8.102896863
20	8.002068045
21	7.909224128
22	7.834375106
23	7.767649214
24	7.702086734
25	7.636019913
26	7.582523518
27	7.529516961
28	7.481013833
29	7.435403649
30	7.401442636
31	7.361858153
32	7.333790129
33	7.302696093
34	7.274474321
35	7.250476759
36	7.233650446
37	7.210927221
38	7.194046652
39	7.175360942
40	7.156613367
41	7.136623339
42	7.129887028
43	7.118662061
44	7.105438166
45	7.095837104
46	7.084943781
47	7.07116778
48	7.064752163
49	7.056729484
50	7.049545274
51	7.043225582
52	7.035009594
53	7.029001852
54	7.021903309
55	7.015289141
56	7.01103496
57	7.003946713
58	6.999759922
59	6.993748044
60	6.991259178
61	6.98717635
62	6.981938006
63	6.977698745
64	6.972617042
65	6.967456393
66	6.963299029
67	6.960554751
68	6.957863639
69	6.954907221
70	6.952176073
71	6.948147991
72	6.945735188
73	6.942443932
74	6.938315326
75	6.935610696
76	6.931710244
77	6.929379496
78	6.92281695
79	6.920346417
80	6.916779801
81	6.912414987
82	6.909371499
83	6.906772456
84	6.904377015
85	6.899851314
86	6.896352456
87	6.893814309
88	6.890787618
89	6.886860697
90	6.885047644
91	6.882150675
92	6.877422641
93	6.874245671
94	6.869128893
95	6.865343316
96	6.863900949
97	6.859813154
98	6.857812271
99	6.855135011
100	6.853519537
101	6.851286138
102	6.847912616
103	6.845378404
104	6.842594125
105	6.839319941
106	6.837875925
107	6.834834685
108	6.831430376
109	6.828429234
110	6.824509029
111	6.821898915
112	6.81967712
113	6.816174774
114	6.813667322
115	6.811748917
116	6.808229582
117	6.805659343
118	6.803654103
119	6.800485448
120	6.798296943
121	6.796250406
122	6.794178722
123	6.792211251
124	6.789091084
125	6.786049613
126	6.78499946
127	6.781385334
128	6.778117867
129	6.775089142
130	6.770345104
131	6.767868761
132	6.764138215
133	6.761133933
134	6.75947135
135	6.756444492
136	6.751976838
137	6.748754351
138	6.745559242
139	6.742036386
140	6.738905498
141	6.736364375
142	6.732107643
143	6.727901965
144	6.726511277
145	6.724296558
146	6.722372572
147	6.719829355
148	6.716227982
149	6.71353315
150	6.709739397
151	6.707396579
152	6.704153214
153	6.700800434
154	6.698746499
155	6.697560603
156	6.692719894
157	6.688491729
158	6.687092369
159	6.684492929
160	6.681684353
161	6.679187558
162	6.675045205
163	6.671481554
164	6.668939998
165	6.666605936
166	6.664570718
167	6.660382837
168	6.6590077
169	6.656112033
170	6.654381352
171	6.652019753
172	6.648957345
173	6.646293428
174	6.643183624
175	6.639844642
176	6.637877408
177	6.635694627
178	6.633173765
179	6.630655102
180	6.628353369
181	6.62573417
182	6.623911445
183	6.62067156
184	6.619193722
185	6.617529674
186	6.614386252
187	6.612347628
188	6.609879236
189	6.607689504
190	6.605778654
191	6.602904386
192	6.59890375
193	6.594180286
194	6.590893718
195	6.589134742
196	6.585866486
197	6.581236239
198	6.578958109
199	6.57642974
200	6.573874075
201	6.571328591
202	6.569195971
203	6.567208985
204	6.562689255
205	6.559952438
206	6.558112656
207	6.555192987
208	6.551985121
209	6.54980098
210	6.546482281
211	6.54257295
212	6.537872657
213	6.535150641
214	6.532178839
215	6.529682046
216	6.527223575
217	6.524426929
218	6.521456635
219	6.518066316
220	6.51594291
221	6.513913287
222	6.511639944
223	6.508545945
224	6.506413215
225	6.503741174
226	6.501683137
227	6.497640035
228	6.493713669
229	6.49220767
230	6.488584892
231	6.484889475
232	6.483140809
233	6.480785062
234	6.478420287
235	6.47407542
236	6.471423651
237	6.467748703
238	6.465062258
239	6.462454685
240	6.459644426
241	6.45601976
242	6.453068972
243	6.450087065
244	6.446267175
245	6.443975874
246	6.441885589
247	6.439989776
248	6.437957366
249	6.433139955
250	6.431232721
251	6.428118955
252	6.424142252
253	6.420055306
254	6.417416251
255	6.41514326
256	6.413344091
257	6.411569862
258	6.408445992
259	6.405533617
260	6.403471745
261	6.402072299
262	6.399661615
263	6.395736103
264	6.393713363
265	6.391120987
266	6.387983329
267	6.385315886
268	6.383054272
269	6.380034684
270	6.375811719
271	6.373882882
272	6.371627283
273	6.367447045
274	6.365126461
275	6.360663999
276	6.358234311
277	6.356096157
278	6.353270182
279	6.350194224
280	6.347601038
281	6.34498426
282	6.341910715
283	6.338315592
284	6.33521952
285	6.332118247
286	6.330294823
287	6.327271109
288	6.324709119
289	6.322825762
290	6.320286098
291	6.316084146
292	6.313144364
293	6.310467402
294	6.306846268
295	6.303894514
296	6.302207947
297	6.299902538
298	6.29773309
299	6.293555092
300	6.291146919
301	6.289248094
302	6.287400058
303	6.284590158
304	6.280915089
305	6.278605671
306	6.275166982
307	6.272611063
308	6.270738547
309	6.269143369
310	6.267479352
311	6.265267391
312	6.262314469
313	6.259710532
314	6.256866237
315	6.254180676
316	6.251631027
317	6.249175479
318	6.246377809
319	6.242284646
320	6.239921694
321	6.2383691
322	6.234927332
323	6.232156534
324	6.230289468
325	6.228013708
326	6.225559996
327	6.223548974
328	6.220445449
329	6.219002538
330	6.216006856
331	6.211880396
332	6.21028783
333	6.206832978
334	6.204182573
335	6.202935067
336	6.198987397
337	6.196918243
338	6.195916646
339	6.193744211
340	6.191848952
341	6.190036513
342	6.186359885
343	6.184549969
344	6.18123366
345	6.176327629
346	6.174800425
347	6.172996846
348	6.171044091
349	6.168893518
350	6.164837507
351	6.163307376
352	6.161543202
353	6.158680741
354	6.155635212
355	6.153355846
356	6.151163496
357	6.148433867
358	6.14641262
359	6.143854755
360	6.141623816
361	6.139770563
362	6.136609964
363	6.133134404
364	6.131327626
365	6.129383659
366	6.127097419
367	6.123223178
368	6.121958967
369	6.119590452
370	6.116781669
371	6.114611345
372	6.111269569
373	6.108731482
374	6.105103215
375	6.103162209
376	6.099911213
377	6.098376693
378	6.097190351
379	6.095008594
380	6.092954467
381	6.090678902
382	6.087102574
383	6.084826213
384	6.082685832
385	6.080886194
386	6.078586559
387	6.077391889
388	6.075157431
389	6.073339273
390	6.0704496
391	6.068207022
392	6.065938949
393	6.064104968
394	6.063054345
395	6.061115345
396	6.059485808
397	6.057267905
398	6.054631367
399	6.052624778
400	6.049905417
401	6.048320975
402	6.046364221
403	6.043348122
404	6.040338129
405	6.038236967
406	6.035882716
407	6.032656608
408	6.030620146
409	6.027545003
410	6.025168259
411	6.02231994
412	6.020785524
413	6.017277082
414	6.01592862
415	6.014464753
416	6.01290338
417	6.011000849
418	6.007740158
419	6.006544175
420	6.004553793
421	6.002784424
422	6.000934084
423	5.999165607
424	5.996092813
425	5.993582422
426	5.992092606
427	5.990298716
428	5.988338367
429	5.986566259
430	5.984440754
431	5.982082756
432	5.979480155
433	5.978101735
434	5.975801555
435	5.974597533
436	5.972583873
437	5.970215128
438	5.967205183
439	5.964846813
440	5.961268631
441	5.959521533
442	5.957665122
443	5.955671948
444	5.953507206
445	5.950053282
446	5.94760576
447	5.945820572
448	5.944038772
449	5.942587727
450	5.940253115
451	5.938420124
452	5.936734918
453	5.933424542
