iter	Passed	Remaining
0	140	139878
1	143	71853
2	148	49499
3	151	37788
4	154	30777
5	158	26307
6	161	22958
7	165	20498
8	168	18515
9	171	16986
10	175	15760
11	178	14700
12	181	13775
13	184	12978
14	188	12348
15	191	11779
16	196	11347
17	199	10871
18	203	10501
19	207	10145
20	210	9815
21	213	9478
22	216	9214
23	220	8955
24	223	8723
25	226	8497
26	229	8281
27	233	8101
28	237	7953
29	240	7783
30	243	7605
31	246	7449
32	251	7375
33	255	7246
34	259	7163
35	263	7046
36	266	6945
37	270	6849
38	274	6754
39	277	6663
40	281	6573
41	284	6495
42	287	6406
43	291	6322
44	293	6237
45	296	6154
46	300	6100
47	303	6028
48	306	5953
49	309	5883
50	315	5877
51	319	5820
52	322	5755
53	325	5699
54	328	5641
55	332	5601
56	335	5547
57	338	5494
58	341	5442
59	344	5390
60	347	5350
61	350	5305
62	353	5260
63	356	5210
64	359	5165
65	362	5126
66	364	5082
67	368	5046
68	371	5013
69	375	4984
70	380	4972
71	383	4938
72	386	4902
73	388	4864
74	391	4830
75	395	4805
76	398	4778
77	401	4745
78	404	4712
79	406	4680
80	411	4673
81	414	4644
82	417	4614
83	420	4583
84	423	4558
85	426	4534
86	429	4506
87	432	4479
88	434	4451
89	440	4450
90	444	4439
91	447	4414
92	450	4390
93	453	4367
94	458	4364
95	463	4363
96	467	4350
97	471	4336
98	475	4330
99	479	4318
100	482	4298
101	490	4322
102	494	4303
103	497	4285
104	500	4266
105	503	4248
106	507	4232
107	509	4211
108	513	4198
109	517	4186
110	522	4184
111	526	4175
112	529	4160
113	534	4155
114	539	4152
115	543	4138
116	546	4123
117	552	4132
118	556	4117
119	559	4101
120	562	4083
121	565	4066
122	568	4054
123	572	4045
124	575	4031
125	578	4015
126	583	4010
127	586	3993
128	589	3982
129	593	3969
130	597	3965
131	602	3960
132	605	3947
133	608	3932
134	611	3915
135	614	3906
136	618	3893
137	620	3878
138	623	3864
139	626	3848
140	629	3836
141	634	3831
142	636	3816
143	639	3801
144	642	3786
145	645	3776
146	649	3766
147	652	3753
148	655	3741
149	658	3729
150	662	3723
151	665	3711
152	667	3697
153	672	3696
154	676	3685
155	678	3673
156	681	3661
157	684	3647
158	687	3635
159	690	3627
160	693	3615
161	696	3601
162	699	3589
163	701	3577
164	704	3564
165	707	3555
166	710	3543
167	719	3564
168	725	3566
